corporation	stock
20eb81d3-58ea-eb17-23ed-d0916a83b0d4	b11d76b2-ec82-5e4b-8beb-65fe76703a06
99254afd-9487-4445-b92c-72bca40aad75	62185174-33d9-4298-6499-eab85444cec4
3000c692-bad2-5c2e-600a-54feae11445e	dead3e94-49da-ad7b-b0a2-d8ca590b7416
4f86b31d-aae4-fa4b-edc1-b8c37c779e4d	9e82e60e-cc15-96e1-4c20-5f7c687005fe
1492884f-05e7-b96c-aae5-631934577d9c	c48276d2-cfac-34ec-1ff7-4de19a513ba9
b13f1014-01eb-0f37-7091-e78829edec40	6f29706e-cfc3-2693-3081-c87c264c8372
5e8d1b3c-8837-77d0-ac14-42b5940b83d0	87003f4c-d4bf-ba12-368b-d4ceb6fee407
02ddb77e-9423-dc97-6996-850bcd06beff	6c02d8cb-d14e-dc8b-7007-f2a04884663d
3ae262c7-1e01-1448-774f-06af3184760b	f64e12e9-40db-d4bc-641d-8e8dd5af53c4
4934253b-c993-613a-578d-efa6f0ff2a84	8ae99f61-43f5-305c-6164-cb0afd506140
6e48e6ca-dd45-c5a8-a359-8ba16dcdf70a	4dc5539a-5e8d-51d6-bb73-5fe895efcacf
32303843-9456-59cc-14a2-4dfd51fa384a	2fc3db4f-0ea1-1666-6d2c-7059324e6f92
be053c38-310d-4dde-2dfd-19b4671bc5a6	edbc5b3b-12ed-a6ab-b11d-5b7e4da51111
5fb3c8e0-4303-5e0e-807e-049d9e991a51	ac2a2da9-d97d-32ba-a70f-d4c68c7169f5
95fd7e51-6bca-60e6-bcd1-a865d936a117	72ec3b9e-6cff-937b-530b-21795e8613d7
a2bc7b74-aca9-9b77-2cc5-35285fb85887	a47bb016-a394-4a92-1f7f-72e9a76e209f
34955f07-ed6b-3af6-3a52-6719fd222f97	6f9829c6-7613-062a-1266-81c279eb2386
8c79910f-8529-61f7-5cf6-e306566621b9	74bf6f79-ebe2-7bd6-0747-d70fff4c0766
dbb16dcf-423f-512b-8d64-7cd7e4fa6972	1832a8c4-9248-e744-809d-21b3e64c1895
cbf46535-3ebe-c1e9-b81d-409d41665e98	bb4e6bca-42cb-0280-0c86-1d7eb3d1b82b
68b3dfae-7312-6a81-e179-645bbc8a980b	2d8d4928-8c02-3551-3209-e3b335daa9e4
