id	type_object_name	stock_object_issue_price	stock_object_launch_date	stock_object_symbol
b11d76b2-ec82-5e4b-8beb-65fe76703a06	平安银行	40.00	1991-04-03	000001
62185174-33d9-4298-6499-eab85444cec4	万科A	1.00	1991-01-29	000002
dead3e94-49da-ad7b-b0a2-d8ca590b7416	PT金田A	10.00	1991-07-03	000003
9e82e60e-cc15-96e1-4c20-5f7c687005fe	国农科技	1.00	1991-01-14	000004
c48276d2-cfac-34ec-1ff7-4de19a513ba9	世纪星源	10.00	1990-12-10	000005
6f29706e-cfc3-2693-3081-c87c264c8372	深振业A	10.00	1992-04-27	000006
87003f4c-d4bf-ba12-368b-d4ceb6fee407	全新好	1.00	1992-04-13	000007
6c02d8cb-d14e-dc8b-7007-f2a04884663d	神州高铁	7.90	1992-05-07	000008
f64e12e9-40db-d4bc-641d-8e8dd5af53c4	中国宝安	3.00	1991-06-25	000009
8ae99f61-43f5-305c-6164-cb0afd506140	美丽生态	1.00	1995-10-27	000010
4dc5539a-5e8d-51d6-bb73-5fe895efcacf	深物业A	3.60	1992-03-30	000011
2fc3db4f-0ea1-1666-6d2c-7059324e6f92	南玻A	3.38	1992-02-28	000012
edbc5b3b-12ed-a6ab-b11d-5b7e4da51111	*ST石化A	2.80	1992-05-06	000013
ac2a2da9-d97d-32ba-a70f-d4c68c7169f5	沙河股份	2.38	1992-06-02	000014
72ec3b9e-6cff-937b-530b-21795e8613d7	PT中浩A	2.78	1992-06-25	000015
a47bb016-a394-4a92-1f7f-72e9a76e209f	深康佳A	3.90	1992-03-27	000016
6f9829c6-7613-062a-1266-81c279eb2386	深中华A	3.75	1992-03-31	000017
74bf6f79-ebe2-7bd6-0747-d70fff4c0766	神州长城	1.50	1992-06-16	000018
1832a8c4-9248-e744-809d-21b3e64c1895	深深宝A	2.10	1992-10-12	000019
bb4e6bca-42cb-0280-0c86-1d7eb3d1b82b	深华发A	1.90	1992-04-28	000020
2d8d4928-8c02-3551-3209-e3b335daa9e4	深科技	4.65	1994-02-02	000021
bc81e4d1-b308-a371-826a-fb358cb7f742	深赤湾A	3.10	1993-05-05	000022
907ed9cb-1d44-3df1-fd78-13f9e1b0562e	深天地A	3.10	1993-04-29	000023
6828c9b1-2bdb-2d99-b2f9-6f5d69b22ee9	招商地产	3.40	1993-06-07	000024
2e53e81a-147d-1d43-1ebc-f01caeae8501	特力A	 	1993-06-21	000025
507806bd-a40e-3392-2176-62143917ac1c	飞亚达A	3.60	1993-06-03	000026
9c98df04-c7fa-02cc-5645-2318a7b6ffae	深圳能源	3.50	1993-09-03	000027
b2a3ee5c-840b-d927-8613-68b7519d8b0a	国药一致	3.50	1993-08-09	000028
9530a9fa-b87b-97f4-319e-871ce866cda2	深深房A	3.80	1993-09-15	000029
28f1b01d-28c3-a9ce-f88d-0bbb773d3ecd	富奥股份	4.55	1993-09-29	000030
158f5c6f-1253-7b0d-d5c2-1d8b09c05903	中粮地产	4.38	1993-10-08	000031
0c478e52-c542-6d6f-fa53-840780498195	深桑达A	3.36	1993-10-28	000032
40f0eb06-61dc-895c-2b7d-4f4f42a60aee	新都退	3.15	1994-01-03	000033
fd06cb9f-203a-542c-c772-88a3b56792e6	神州数码	5.20	1994-05-09	000034
997e3697-5ef1-96ef-ea16-1232d0ea55b3	中国天楹	3.90	1994-04-08	000035
f47b1c51-9522-e803-8804-9663a95db7ea	华联控股	2.60	1994-06-17	000036
f4fc3e6a-122d-7314-a31d-bbdaac2f880d	深南电A	4.60	1994-07-01	000037
19b558a8-6cad-80ef-80ab-b4eb65f0ec17	深大通	3.68	1994-08-08	000038
37cb4f37-57d0-1b50-cf90-7d0a268d5f95	中集集团	 	1994-04-08	000039
9278255c-e5d9-9d27-656b-a42dcb5459ae	东旭蓝天	6.00	1994-08-08	000040
d8e73b73-ac2d-b655-0456-b57f49eb9a3a	中洲控股	10.80	1994-09-21	000042
004a3a89-879e-2e66-51e8-b8381ee26c0b	中航地产	5.50	1994-09-28	000043
1bedde0d-ebc1-a057-361f-a10f6b7c8ea2	深纺织A	3.90	1994-08-15	000045
382c79b7-24c0-c519-bb5c-cdba28ea292c	泛海控股	6.30	1994-09-12	000046
aab5f2f2-ded2-6ac4-0f5e-7739f94b6ee1	ST中侨	4.05	1994-10-21	000047
989cbb44-7f31-7ca8-ca28-36367e301bd2	康达尔	4.80	1994-11-01	000048
3001bd10-ea86-1f11-3ade-a44d2debc565	德赛电池	4.95	1995-03-20	000049
ac23cdde-6585-d1fc-2d9a-68c6c6f178be	深天马A	4.50	1995-03-15	000050
c31bbd68-795f-4225-a906-18c53977c89d	方大集团	 	1996-04-15	000055
4d0edab9-fbff-e368-ef80-ed4c6ecbc0cf	皇庭国际	 	1996-07-08	000056
de8d5bca-0292-3d89-63e1-3e88a2fb8980	深赛格	 	1996-12-26	000058
65e192ec-85b3-93f9-7037-5a3defb789d7	华锦股份	5.38	1997-01-30	000059
b0622779-4b82-9453-fedc-70a7582851e3	中金岭南	8.00	1997-01-23	000060
dad78f32-c049-4844-7f35-67f775073bd0	农产品	8.38	1997-01-10	000061
71772f13-ffc1-8e07-3a70-c0fabf26fdcb	深圳华强	11.40	1997-01-30	000062
3dc710f8-e8d7-4a86-289b-3bb1083b0928	中兴通讯	6.81	1997-11-18	000063
73230640-5143-4ebe-2807-e96d5357a8c5	北方国际	3.98	1998-06-05	000065
2fcdea6e-3d33-71dc-3d57-1a3b535796ba	中国长城	6.58	1997-06-26	000066
bb5351a8-dd6d-c320-708b-f92a62ed4a23	华控赛格	5.45	1997-06-11	000068
aca06733-7449-d4bc-e96d-dc3cc27bb68d	华侨城A	6.18	1997-09-10	000069
b555240a-361b-efe9-de28-f7bcecd75979	特发信息	7.90	2000-05-11	000070
7e878b8a-2fd8-fd43-4cb3-63e337c05032	海王生物	5.36	1998-12-18	000078
67d8b1b1-aefc-8786-5287-7be5802f0816	盐田港	5.31	1997-07-28	000088
